code_muni,municipio,area,densidade
3553500,Tapiraí,755.1,10.59
3553609,Tapiratiba,221.891,53.25
3553658,Taquaral,53.892,48.6
3553708,Taquaritinga,594.335,87.93
3553807,Taquarituba,448.515,54.29
3553856,Taquarivaí,231.792,29.66
3553906,Tarabai,201.385,32.46
3553955,Tarumã,302.913,49.13
3554003,Tatuí,523.749,236.64
3554102,Taubaté,625.003,497.18
3554201,Tejupá,296.189,13.93
3554300,Teodoro Sampaio,1555.803,14.25
3554409,Terra Roxa,221.541,35.68
3554508,Tietê,404.396,93.13
3554607,Timburi,196.79,12.52
3554656,Torre de Pedra,71.348,28.68
3554706,Torrinha,315.267,29.61
3554755,Trabiju,63.421,26.52
3554805,Tremembé,191.094,267.79
3554904,Três Fronteiras,151.594,44.88
3554953,Tuiuti,126.731,53.48
3555000,Tupã,627.986,101.8
3555109,Tupi Paulista,244.77,64.77
3555208,Turiúba,153.235,11.86
3555307,Turmalina,147.797,11.29
3555356,Ubarana,209.861,25.56
3555406,Ubatuba,708.105,131.31
3555505,Ubirajara,282.179,18.19
3555604,Uchoa,252.434,41.18
3555703,União Paulista,79.056,20.28
3555802,Urânia,209.262,42.21
3555901,Uru,146.901,9.44
3556008,Urupês,323.916,42.43
3556107,Valentim Gentil,149.741,94.15
3556206,Valinhos,148.538,850.78
3556305,Valparaíso,857.661,28.26
3556354,Vargem,142.595,73.72
3556404,Vargem Grande do Sul,267.178,150.21
3556453,Vargem Grande Paulista,42.489,1186.54
3556503,Várzea Paulista,35.12,3296.44
3556602,Vera Cruz,247.716,41.08
3556701,Vinhedo,80.95,945.52
3556800,Viradouro,217.726,79.98
3556909,Vista Alegre do Alto,95.429,84.97
3556958,Vitória Brasil,49.832,36
3557006,Votorantim,184.186,694.53
3557105,Votuporanga,420.703,229.7
3557154,Zacarias,319.056,8.44
3557204,Chavantes,188.727,64.7
3557303,Estiva Gerbi,74.144,152.34
